Date,IDDATA.Death,IDDATA.DeathConfirmed
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,3,0
2020-3-28,4,0
2020-3-29,5,0
2020-3-30,6,0
2020-3-31,7,0
2020-4-1,9,0
2020-4-2,9,0
2020-4-3,9,0
2020-4-4,10,0
2020-4-5,10,0
2020-4-6,10,0
2020-4-7,13,0
2020-4-8,15,0
2020-4-9,18,0
2020-4-10,24,0
2020-4-11,25,0
2020-4-12,27,0
2020-4-13,27,0
2020-4-14,33,0
2020-4-15,39,0
2020-4-16,41,0
2020-4-17,41,0
2020-4-18,43,0
2020-4-19,44,0
2020-4-20,45,0
2020-4-21,48,0
2020-4-22,51,0
2020-4-23,54,0
2020-4-24,54,0
2020-4-25,54,0
2020-4-26,56,0
2020-4-27,56,0
2020-4-28,58,0
2020-4-29,60,0
2020-4-30,60,0
2020-5-1,63,0
2020-5-2,63,0
2020-5-3,63,0
2020-5-4,64,0
2020-5-5,64,0
2020-5-6,65,0
2020-5-7,66,0
2020-5-8,67,0
2020-5-9,67,0
2020-5-10,67,0
2020-5-11,67,0
2020-5-12,70,0
2020-5-13,69,0
2020-5-14,69,0
2020-5-15,72,0
2020-5-16,73,0
2020-5-17,73,0
2020-5-18,73,0
2020-5-19,74,0
2020-5-20,77,0
2020-5-21,77,0
2020-5-22,77,0
2020-5-23,79,59
2020-5-24,79,59
2020-5-25,79,59
2020-5-26,79,59
2020-5-27,81,61
2020-5-28,82,62
2020-5-29,82,62
2020-5-30,82,62
2020-5-31,82,62
2020-6-1,82,62
2020-6-2,83,63
2020-6-3,83,63
2020-6-4,83,63
2020-6-5,83,63
2020-6-6,83,63
2020-6-7,83,63
2020-6-8,83,63
2020-6-9,83,63
2020-6-10,85,65
2020-6-11,85,65
2020-6-12,86,66
2020-6-13,87,67
2020-6-14,87,67
2020-6-15,87,67
2020-6-16,88,68
2020-6-17,88,68
2020-6-18,88,68
2020-6-19,89,69
2020-6-20,89,69
2020-6-21,89,69
2020-6-22,89,69
2020-6-23,89,69
2020-6-24,89,69
2020-6-25,90,70
2020-6-26,90,70
2020-6-27,90,70
2020-6-28,91,71
2020-6-29,91,71
2020-6-30,91,71
2020-7-1,92,72
2020-7-2,92,72
2020-7-3,92,72
2020-7-4,93,73
2020-7-5,93,73
2020-7-6,93,73
2020-7-7,94,74
2020-7-8,94,74
2020-7-9,98,78
2020-7-10,100,80
2020-7-11,101,81
2020-7-12,102,82
2020-7-13,102,82
2020-7-14,102,82
2020-7-15,103,83
2020-7-16,110,89
2020-7-17,114,93
2020-7-18,118,96
2020-7-19,119,97
2020-7-20,119,97
2020-7-21,122,100
2020-7-22,126,103
2020-7-23,135,114
2020-7-24,138,117
2020-7-25,144,123
2020-7-26,146,125
2020-7-27,146,125
2020-7-28,152,130
2020-7-29,160,139
2020-7-30,173,152
2020-7-31,177,155
2020-8-1,189,155
2020-8-2,197,174
2020-8-3,197,174
2020-8-4,200,177
2020-8-5,210,187
2020-8-6,217,194
2020-8-7,223,199
2020-8-8,229,205
2020-8-9,235,211
2020-8-10,237,212
2020-8-11,239,214
2020-8-12,246,221
2020-8-13,246,221
2020-8-14,251,225
2020-8-15,265,239
2020-8-16,269,241
2020-8-17,269,241
2020-8-18,273,245
2020-8-19,282,255
2020-8-20,291,264
2020-8-21,298,269
2020-8-22,304,274
2020-8-23,306,277
2020-8-24,307,278
2020-8-25,314,285
2020-8-26,326,293
2020-8-27,337,304
2020-8-28,343,309
2020-8-29,353,319
2020-8-30,358,324
2020-8-31,359,325
2020-9-1,361,327
2020-9-2,368,333
2020-9-3,372,336
2020-9-4,372,336
2020-9-5,382,346
2020-9-6,384,348
2020-9-7,385,349
2020-9-8,385,349
2020-9-9,389,353
2020-9-10,406,369
2020-9-11,407,369
2020-9-12,412,375
2020-9-13,415,378
2020-9-14,415,378
2020-9-15,419,382
2020-9-16,423,385
2020-9-17,429,391
2020-9-18,434,396
2020-9-19,438,400
2020-9-20,441,403
2020-9-21,443,405
2020-9-22,447,409
2020-9-23,451,413
2020-9-24,454,416
2020-9-25,457,419
2020-9-26,458,421
2020-9-27,460,423
2020-9-28,460,423
2020-9-29,460,423
2020-9-30,464,427
2020-10-1,469,431
2020-10-2,472,433
2020-10-3,474,435
2020-10-4,480,440
2020-10-5,482,442
2020-10-6,487,447
2020-10-7,492,452
2020-10-8,500,459
2020-10-9,503,462
2020-10-10,506,464
2020-10-11,507,466
2020-10-12,507,466
2020-10-13,510,469
2020-10-14,512,471
2020-10-15,516,475
2020-10-16,517,476
2020-10-17,523,482
2020-10-18,529,487
2020-10-19,528,486
2020-10-20,531,488
2020-10-21,535,492
2020-10-22,546,503
2020-10-23,553,509
2020-10-24,562,518
2020-10-25,572,527
2020-10-26,573,528
2020-10-27,580,536
2020-10-28,585,541
2020-10-29,599,555
2020-10-30,615,571
2020-10-31,626,582
2020-11-1,629,585
2020-11-2,630,586
2020-11-3,632,588
2020-11-4,647,600
2020-11-5,664,616
2020-11-6,671,622
2020-11-7,679,630
2020-11-8,683,633
2020-11-9,686,636
2020-11-10,698,646
2020-11-11,714,660
2020-11-12,733,676
2020-11-13,749,692
2020-11-14,752,695
2020-11-15,759,700
2020-11-16,759,700
2020-11-17,763,703
2020-11-18,798,733
2020-11-19,812,746
2020-11-20,835,769
2020-11-21,845,780
2020-11-22,847,783
2020-11-23,849,783
2020-11-24,866,800
2020-11-25,874,808
2020-11-26,895,827
2020-11-27,895,827
2020-11-28,909,839
2020-11-29,913,843
2020-11-30,920,848
2020-12-1,929,854
2020-12-2,960,881
2020-12-3,991,905
2020-12-4,1014,927
2020-12-5,1032,943
2020-12-6,1032,944
2020-12-7,1035,946
2020-12-8,1055,965
2020-12-9,1074,982
2020-12-10,1103,1006
2020-12-11,1136,1023
2020-12-12,1151,1036
2020-12-13,1169,1053
2020-12-14,1175,1058
2020-12-15,1194,1075
2020-12-16,1214,1088
2020-12-17,1231,1104
2020-12-18,1259,1121
2020-12-19,1275,1131
2020-12-20,1275,1133
2020-12-21,1280,1136
2020-12-22,1301,1151
2020-12-23,1313,1158
2020-12-24,1324,1169
2020-12-25,1349,1191
2020-12-26,1349,1191
2020-12-27,1354,1195
2020-12-28,1354,1195
2020-12-29,1377,1216
2020-12-30,1393,1232
2020-12-31,1403,1240
2021-1-1,1436,1269
2021-1-2,1436,1269
2021-1-3,1448,1281
2021-1-4,1448,1281
2021-1-5,1459,1290
2021-1-6,1471,1298
2021-1-7,1488,1313
2021-1-8,1517,1339
2021-1-9,1523,1344
2021-1-10,1528,1349
2021-1-11,1534,1355
2021-1-12,1544,1363
2021-1-13,1556,1373
2021-1-14,1564,1378
2021-1-15,1591,1401
2021-1-16,1603,1412
2021-1-17,1605,1414
2021-1-18,1607,1415
2021-1-19,1607,1415
2021-1-20,1637,1438
2021-1-21,1635,1436
2021-1-22,1654,1452
2021-1-23,1667,1462
2021-1-24,1668,1464
2021-1-25,1669,1464
2021-1-26,1681,1475
2021-1-27,1688,1481
2021-1-28,1714,1501
2021-1-29,1721,1508
2021-1-30,1725,1513
2021-1-31,1725,1513
2021-2-1,1725,1513
2021-2-2,1735,1522
2021-2-3,1741,1527
2021-2-4,1748,1534
2021-2-5,1747,1533
2021-2-6,1758,1544
2021-2-7,1767,1553
2021-2-8,1767,1553
2021-2-9,1776,1562
2021-2-10,1780,1567
2021-2-11,1791,1577
2021-2-12,1791,1577
