Date,MODATA.Death,MODATA.DeathConfirmed
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,1,0
2020-3-20,1,0
2020-3-21,3,0
2020-3-22,3,0
2020-3-23,3,0
2020-3-24,3,0
2020-3-25,8,0
2020-3-26,8,0
2020-3-27,8,0
2020-3-28,10,0
2020-3-29,10,0
2020-3-30,13,0
2020-3-31,14,0
2020-4-1,18,0
2020-4-2,19,0
2020-4-3,19,0
2020-4-4,24,0
2020-4-5,34,0
2020-4-6,39,0
2020-4-7,53,0
2020-4-8,58,0
2020-4-9,77,0
2020-4-10,96,0
2020-4-11,109,0
2020-4-12,110,0
2020-4-13,114,0
2020-4-14,133,0
2020-4-15,147,0
2020-4-16,152,0
2020-4-17,165,0
2020-4-18,175,0
2020-4-19,176,0
2020-4-20,177,0
2020-4-21,189,0
2020-4-22,208,0
2020-4-23,218,0
2020-4-24,262,0
2020-4-25,273,0
2020-4-26,274,0
2020-4-27,288,0
2020-4-28,314,0
2020-4-29,318,0
2020-4-30,329,0
2020-5-1,337,0
2020-5-2,351,0
2020-5-3,352,0
2020-5-4,358,0
2020-5-5,377,0
2020-5-6,396,0
2020-5-7,418,0
2020-5-8,449,0
2020-5-9,472,0
2020-5-10,482,0
2020-5-11,488,0
2020-5-12,524,0
2020-5-13,542,0
2020-5-14,562,0
2020-5-15,576,0
2020-5-16,589,0
2020-5-17,594,0
2020-5-18,605,0
2020-5-19,616,0
2020-5-20,631,0
2020-5-21,661,0
2020-5-22,671,0
2020-5-23,676,0
2020-5-24,681,0
2020-5-25,685,0
2020-5-26,686,0
2020-5-27,696,0
2020-5-28,707,0
2020-5-29,738,0
2020-5-30,771,0
2020-5-31,772,0
2020-6-1,773,0
2020-6-2,783,0
2020-6-3,786,0
2020-6-4,786,0
2020-6-5,799,0
2020-6-6,809,0
2020-6-7,809,0
2020-6-8,819,0
2020-6-9,840,0
2020-6-10,848,0
2020-6-11,860,0
2020-6-12,872,0
2020-6-13,879,0
2020-6-14,879,0
2020-6-15,880,0
2020-6-16,882,0
2020-6-17,909,0
2020-6-18,946,0
2020-6-19,948,0
2020-6-20,955,0
2020-6-21,956,0
2020-6-22,961,0
2020-6-23,961,0
2020-6-24,975,0
2020-6-25,982,0
2020-6-26,990,0
2020-6-27,996,0
2020-6-28,997,0
2020-6-29,998,0
2020-6-30,1015,0
2020-7-1,1017,0
2020-7-2,1022,0
2020-7-3,1026,0
2020-7-4,1027,0
2020-7-5,1028,0
2020-7-6,1028,0
2020-7-7,1042,0
2020-7-8,1046,0
2020-7-9,1051,0
2020-7-10,1051,0
2020-7-11,1069,0
2020-7-12,1069,0
2020-7-13,1083,0
2020-7-14,1093,0
2020-7-15,1102,0
2020-7-16,1113,0
2020-7-17,1121,0
2020-7-18,1130,0
2020-7-19,1129,0
2020-7-20,1132,0
2020-7-21,1143,0
2020-7-22,1159,0
2020-7-23,1179,0
2020-7-24,1178,0
2020-7-25,1182,0
2020-7-26,1197,0
2020-7-27,1201,0
2020-7-28,1213,0
2020-7-29,1220,0
2020-7-30,1233,0
2020-7-31,1243,0
2020-8-1,1253,0
2020-8-2,1253,0
2020-8-3,1255,0
2020-8-4,1266,0
2020-8-5,1272,0
2020-8-6,1280,0
2020-8-7,1301,0
2020-8-8,1301,0
2020-8-9,1301,0
2020-8-10,1307,0
2020-8-11,1312,0
2020-8-12,1323,0
2020-8-13,1325,0
2020-8-14,1335,0
2020-8-15,1346,0
2020-8-16,1367,0
2020-8-17,1396,0
2020-8-18,1402,0
2020-8-19,1414,0
2020-8-20,1417,0
2020-8-21,1419,0
2020-8-22,1425,0
2020-8-23,1426,0
2020-8-24,1426,0
2020-8-25,1440,0
2020-8-26,1449,0
2020-8-27,1450,0
2020-8-28,1464,0
2020-8-29,1496,0
2020-8-30,1508,0
2020-8-31,1530,0
2020-9-1,1538,0
2020-9-2,1542,0
2020-9-3,1545,0
2020-9-4,1562,0
2020-9-5,1639,0
2020-9-6,1658,0
2020-9-7,1659,0
2020-9-8,1661,0
2020-9-9,1673,0
2020-9-10,1691,0
2020-9-11,1701,0
2020-9-12,1704,0
2020-9-13,1705,0
2020-9-14,1714,0
2020-9-15,1732,0
2020-9-16,1739,0
2020-9-17,1757,0
2020-9-18,1780,0
2020-9-19,1793,0
2020-9-20,1795,0
2020-9-21,1807,0
2020-9-22,1864,0
2020-9-23,1947,0
2020-9-24,1952,0
2020-9-25,1994,0
2020-9-26,2063,0
2020-9-27,2063,0
2020-9-28,2064,0
2020-9-29,2086,0
2020-9-30,2118,0
2020-10-1,2128,0
2020-10-2,2144,0
2020-10-3,2169,0
2020-10-4,2173,0
2020-10-5,2174,0
2020-10-6,2200,0
2020-10-7,2236,0
2020-10-8,2259,0
2020-10-9,2395,0
2020-10-10,2422,0
2020-10-11,2422,0
2020-10-12,2422,0
2020-10-13,2422,0
2020-10-14,2420,0
2020-10-15,2442,0
2020-10-16,2459,0
2020-10-17,2580,0
2020-10-18,2582,0
2020-10-19,2590,0
2020-10-20,2615,0
2020-10-21,2641,0
2020-10-22,2657,0
2020-10-23,2688,0
2020-10-24,2801,0
2020-10-25,2805,0
2020-10-26,2810,0
2020-10-27,2838,0
2020-10-28,2870,0
2020-10-29,2899,0
2020-10-30,2925,0
2020-10-31,3024,0
2020-11-1,3026,0
2020-11-2,3031,0
2020-11-3,3064,0
2020-11-4,3088,0
2020-11-5,3106,0
2020-11-6,3131,0
2020-11-7,3150,0
2020-11-8,3153,0
2020-11-9,3153,0
2020-11-10,3299,0
2020-11-11,3323,0
2020-11-12,3339,0
2020-11-13,3359,0
2020-11-14,3373,0
2020-11-15,3374,0
2020-11-16,3386,0
2020-11-17,3453,0
2020-11-18,3477,0
2020-11-19,3507,0
2020-11-20,3537,0
2020-11-21,3555,0
2020-11-22,3559,0
2020-11-23,3561,0
2020-11-24,3750,0
2020-11-25,3776,0
2020-11-26,3808,0
2020-11-27,3809,0
2020-11-28,3817,0
2020-11-29,3823,0
2020-11-30,3829,0
2020-12-1,4006,0
2020-12-2,4043,0
2020-12-3,4102,0
2020-12-4,4122,0
2020-12-5,4181,0
2020-12-6,4192,0
2020-12-7,4194,0
2020-12-8,4355,0
2020-12-9,4383,0
2020-12-10,4450,0
2020-12-11,4481,0
2020-12-12,4503,0
2020-12-13,4511,0
2020-12-14,4514,0
2020-12-15,4754,0
2020-12-16,4799,0
2020-12-17,4834,0
2020-12-18,4853,0
2020-12-19,4904,0
2020-12-20,4937,0
2020-12-21,4947,0
2020-12-22,5158,0
2020-12-23,5255,0
2020-12-24,5294,0
2020-12-25,5308,0
2020-12-26,5309,0
2020-12-27,5312,0
2020-12-28,5316,0
2020-12-29,5433,0
2020-12-30,5491,0
2020-12-31,5519,0
2021-1-1,5540,0
2021-1-2,5543,0
2021-1-3,5562,0
2021-1-4,5562,0
2021-1-5,5825,0
2021-1-6,5858,0
2021-1-7,5882,0
2021-1-8,5912,0
2021-1-9,5944,0
2021-1-10,5948,0
2021-1-11,5951,0
2021-1-12,6155,0
2021-1-13,6171,0
2021-1-14,6201,0
2021-1-15,6229,0
2021-1-16,6253,0
2021-1-17,6254,0
2021-1-18,6256,0
2021-1-19,6263,0
2021-1-20,6461,0
2021-1-21,6485,0
2021-1-22,6527,0
2021-1-23,6541,0
2021-1-24,6548,0
2021-1-25,6553,0
2021-1-26,6686,0
2021-1-27,6709,0
2021-1-28,6725,0
2021-1-29,6739,0
2021-1-30,6748,0
2021-1-31,6748,0
2021-2-1,6748,0
2021-2-2,7088,0
2021-2-3,7098,0
2021-2-4,7117,0
2021-2-5,7130,0
2021-2-6,7142,0
2021-2-7,7143,0
2021-2-8,7143,0
2021-2-9,7149,0
2021-2-10,7161,0
2021-2-11,7431,0
2021-2-12,7442,0
