Date,MTDATA.Death,MTDATA.DeathConfirmed
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,1,0
2020-3-29,1,0
2020-3-30,4,0
2020-3-31,4,0
2020-4-1,5,0
2020-4-2,5,0
2020-4-3,5,0
2020-4-4,5,0
2020-4-5,6,0
2020-4-6,6,0
2020-4-7,6,0
2020-4-8,6,0
2020-4-9,6,0
2020-4-10,6,0
2020-4-11,6,0
2020-4-12,6,0
2020-4-13,7,0
2020-4-14,7,0
2020-4-15,7,0
2020-4-16,7,0
2020-4-17,8,0
2020-4-18,10,0
2020-4-19,10,0
2020-4-20,10,0
2020-4-21,12,0
2020-4-22,14,0
2020-4-23,14,0
2020-4-24,14,0
2020-4-25,14,0
2020-4-26,14,0
2020-4-27,14,0
2020-4-28,15,0
2020-4-29,16,0
2020-4-30,16,0
2020-5-1,16,0
2020-5-2,16,0
2020-5-3,16,0
2020-5-4,16,0
2020-5-5,16,0
2020-5-6,16,0
2020-5-7,16,0
2020-5-8,16,0
2020-5-9,16,0
2020-5-10,16,0
2020-5-11,16,0
2020-5-12,16,0
2020-5-13,16,0
2020-5-14,16,0
2020-5-15,16,0
2020-5-16,16,0
2020-5-17,16,0
2020-5-18,16,0
2020-5-19,16,0
2020-5-20,16,0
2020-5-21,16,0
2020-5-22,16,0
2020-5-23,16,0
2020-5-24,16,0
2020-5-25,16,0
2020-5-26,17,0
2020-5-27,17,0
2020-5-28,17,0
2020-5-29,17,0
2020-5-30,17,0
2020-5-31,17,0
2020-6-1,17,0
2020-6-2,17,0
2020-6-3,17,0
2020-6-4,17,0
2020-6-5,18,0
2020-6-6,18,0
2020-6-7,18,0
2020-6-8,18,0
2020-6-9,18,0
2020-6-10,18,0
2020-6-11,18,0
2020-6-12,18,0
2020-6-13,18,0
2020-6-14,19,0
2020-6-15,19,0
2020-6-16,19,0
2020-6-17,20,0
2020-6-18,20,0
2020-6-19,20,0
2020-6-20,20,0
2020-6-21,20,0
2020-6-22,21,0
2020-6-23,21,0
2020-6-24,21,0
2020-6-25,21,0
2020-6-26,22,0
2020-6-27,22,0
2020-6-28,22,0
2020-6-29,22,0
2020-6-30,22,0
2020-7-1,22,0
2020-7-2,22,0
2020-7-3,23,0
2020-7-4,23,0
2020-7-5,23,0
2020-7-6,23,0
2020-7-7,23,0
2020-7-8,23,0
2020-7-9,25,0
2020-7-10,28,0
2020-7-11,29,0
2020-7-12,29,0
2020-7-13,32,0
2020-7-14,34,0
2020-7-15,34,0
2020-7-16,35,0
2020-7-17,37,0
2020-7-18,37,0
2020-7-19,37,0
2020-7-20,39,0
2020-7-21,40,0
2020-7-22,42,0
2020-7-23,43,0
2020-7-24,46,0
2020-7-25,46,0
2020-7-26,46,0
2020-7-27,47,0
2020-7-28,51,0
2020-7-29,54,0
2020-7-30,55,0
2020-7-31,60,0
2020-8-1,61,0
2020-8-2,61,0
2020-8-3,64,0
2020-8-4,64,0
2020-8-5,65,0
2020-8-6,65,0
2020-8-7,70,0
2020-8-8,75,0
2020-8-9,75,0
2020-8-10,75,0
2020-8-11,77,0
2020-8-12,80,0
2020-8-13,81,0
2020-8-14,81,0
2020-8-15,82,0
2020-8-16,82,0
2020-8-17,82,0
2020-8-18,84,0
2020-8-19,84,0
2020-8-20,89,0
2020-8-21,89,0
2020-8-22,90,0
2020-8-23,90,0
2020-8-24,91,0
2020-8-25,97,0
2020-8-26,98,0
2020-8-27,98,0
2020-8-28,100,0
2020-8-29,104,0
2020-8-30,104,0
2020-8-31,104,0
2020-9-1,105,0
2020-9-2,109,0
2020-9-3,111,0
2020-9-4,114,0
2020-9-5,116,0
2020-9-6,117,0
2020-9-7,118,0
2020-9-8,119,0
2020-9-9,122,0
2020-9-10,123,0
2020-9-11,131,0
2020-9-12,133,0
2020-9-13,135,0
2020-9-14,138,0
2020-9-15,140,0
2020-9-16,141,0
2020-9-17,143,0
2020-9-18,146,0
2020-9-19,156,0
2020-9-20,157,0
2020-9-21,160,0
2020-9-22,163,0
2020-9-23,165,0
2020-9-24,165,0
2020-9-25,170,0
2020-9-26,171,0
2020-9-27,173,0
2020-9-28,174,0
2020-9-29,177,0
2020-9-30,180,0
2020-10-1,181,0
2020-10-2,186,0
2020-10-3,186,0
2020-10-4,187,0
2020-10-5,190,0
2020-10-6,192,0
2020-10-7,193,0
2020-10-8,197,0
2020-10-9,206,0
2020-10-10,209,0
2020-10-11,210,0
2020-10-12,212,0
2020-10-13,217,0
2020-10-14,225,0
2020-10-15,230,0
2020-10-16,235,0
2020-10-17,240,0
2020-10-18,241,0
2020-10-19,241,0
2020-10-20,252,0
2020-10-21,275,0
2020-10-22,278,0
2020-10-23,282,0
2020-10-24,294,0
2020-10-25,297,0
2020-10-26,303,0
2020-10-27,305,0
2020-10-28,325,0
2020-10-29,337,0
2020-10-30,364,0
2020-10-31,375,0
2020-11-1,376,0
2020-11-2,386,0
2020-11-3,399,0
2020-11-4,404,0
2020-11-5,407,0
2020-11-6,419,0
2020-11-7,445,0
2020-11-8,456,0
2020-11-9,457,0
2020-11-10,462,0
2020-11-11,472,0
2020-11-12,472,0
2020-11-13,477,0
2020-11-14,514,0
2020-11-15,520,0
2020-11-16,522,0
2020-11-17,543,0
2020-11-18,561,0
2020-11-19,561,0
2020-11-20,567,0
2020-11-21,600,0
2020-11-22,603,0
2020-11-23,614,0
2020-11-24,630,0
2020-11-25,652,0
2020-11-26,658,0
2020-11-27,657,0
2020-11-28,669,0
2020-11-29,671,0
2020-11-30,681,0
2020-12-1,698,0
2020-12-2,713,0
2020-12-3,722,0
2020-12-4,727,0
2020-12-5,734,0
2020-12-6,736,0
2020-12-7,742,0
2020-12-8,763,0
2020-12-9,771,0
2020-12-10,781,0
2020-12-11,805,0
2020-12-12,816,0
2020-12-13,818,0
2020-12-14,818,0
2020-12-15,826,0
2020-12-16,836,0
2020-12-17,849,0
2020-12-18,854,0
2020-12-19,864,0
2020-12-20,865,0
2020-12-21,881,0
2020-12-22,895,0
2020-12-23,914,0
2020-12-24,916,0
2020-12-25,916,0
2020-12-26,919,0
2020-12-27,924,0
2020-12-28,927,0
2020-12-29,939,0
2020-12-30,950,0
2020-12-31,961,0
2021-1-1,961,0
2021-1-2,971,0
2021-1-3,972,0
2021-1-4,975,0
2021-1-5,1005,0
2021-1-6,1015,0
2021-1-7,1038,0
2021-1-8,1049,0
2021-1-9,1054,0
2021-1-10,1056,0
2021-1-11,1057,0
2021-1-12,1067,0
2021-1-13,1069,0
2021-1-14,1077,0
2021-1-15,1086,0
2021-1-16,1088,0
2021-1-17,1092,0
2021-1-18,1093,0
2021-1-19,1093,0
2021-1-20,1094,0
2021-1-21,1100,0
2021-1-22,1104,0
2021-1-23,1141,0
2021-1-24,1151,0
2021-1-25,1151,0
2021-1-26,1185,0
2021-1-27,1201,0
2021-1-28,1210,0
2021-1-29,1227,0
2021-1-30,1232,0
2021-1-31,1233,0
2021-2-1,1234,0
2021-2-2,1249,0
2021-2-3,1303,0
2021-2-4,1308,0
2021-2-5,1307,0
2021-2-6,1312,0
2021-2-7,1314,0
2021-2-8,1314,0
2021-2-9,1315,0
2021-2-10,1320,0
2021-2-11,1320,0
2021-2-12,1324,0
