Date,UTDATA.Death,UTDATA.DeathConfirmed
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,1,0
2020-3-23,1,0
2020-3-24,1,0
2020-3-25,1,0
2020-3-26,1,0
2020-3-27,2,0
2020-3-28,2,0
2020-3-29,2,0
2020-3-30,4,0
2020-3-31,5,0
2020-4-1,7,0
2020-4-2,7,0
2020-4-3,7,0
2020-4-4,8,0
2020-4-5,8,0
2020-4-6,13,0
2020-4-7,13,0
2020-4-8,13,0
2020-4-9,13,0
2020-4-10,17,0
2020-4-11,18,0
2020-4-12,18,0
2020-4-13,18,0
2020-4-14,19,0
2020-4-15,20,0
2020-4-16,21,0
2020-4-17,23,0
2020-4-18,25,0
2020-4-19,27,0
2020-4-20,28,0
2020-4-21,32,0
2020-4-22,34,0
2020-4-23,35,0
2020-4-24,39,0
2020-4-25,41,0
2020-4-26,41,0
2020-4-27,41,0
2020-4-28,45,0
2020-4-29,45,0
2020-4-30,46,0
2020-5-1,46,0
2020-5-2,49,0
2020-5-3,50,0
2020-5-4,50,0
2020-5-5,56,0
2020-5-6,58,0
2020-5-7,61,0
2020-5-8,61,0
2020-5-9,66,0
2020-5-10,67,0
2020-5-11,68,0
2020-5-12,73,0
2020-5-13,75,0
2020-5-14,75,0
2020-5-15,77,0
2020-5-16,78,0
2020-5-17,80,0
2020-5-18,80,0
2020-5-19,88,0
2020-5-20,90,0
2020-5-21,92,0
2020-5-22,93,0
2020-5-23,97,0
2020-5-24,97,0
2020-5-25,98,0
2020-5-26,101,0
2020-5-27,105,0
2020-5-28,106,0
2020-5-29,107,0
2020-5-30,112,0
2020-5-31,113,0
2020-6-1,113,0
2020-6-2,113,0
2020-6-3,117,0
2020-6-4,117,0
2020-6-5,120,0
2020-6-6,121,0
2020-6-7,121,0
2020-6-8,124,0
2020-6-9,127,0
2020-6-10,128,0
2020-6-11,131,0
2020-6-12,139,0
2020-6-13,139,0
2020-6-14,139,0
2020-6-15,143,0
2020-6-16,145,0
2020-6-17,149,0
2020-6-18,152,0
2020-6-19,155,0
2020-6-20,155,0
2020-6-21,158,0
2020-6-22,158,0
2020-6-23,163,0
2020-6-24,163,0
2020-6-25,164,0
2020-6-26,166,0
2020-6-27,167,0
2020-6-28,167,0
2020-6-29,168,0
2020-6-30,172,0
2020-7-1,173,0
2020-7-2,176,0
2020-7-3,181,0
2020-7-4,181,0
2020-7-5,184,0
2020-7-6,190,0
2020-7-7,194,0
2020-7-8,201,0
2020-7-9,205,0
2020-7-10,207,0
2020-7-11,212,0
2020-7-12,215,0
2020-7-13,216,0
2020-7-14,226,0
2020-7-15,233,0
2020-7-16,234,0
2020-7-17,235,0
2020-7-18,243,0
2020-7-19,243,0
2020-7-20,247,0
2020-7-21,251,0
2020-7-22,260,0
2020-7-23,267,0
2020-7-24,273,0
2020-7-25,274,0
2020-7-26,274,0
2020-7-27,281,0
2020-7-28,286,0
2020-7-29,292,0
2020-7-30,300,0
2020-7-31,304,0
2020-8-1,310,0
2020-8-2,311,0
2020-8-3,314,0
2020-8-4,321,0
2020-8-5,327,0
2020-8-6,330,0
2020-8-7,335,0
2020-8-8,335,0
2020-8-9,336,0
2020-8-10,345,0
2020-8-11,349,0
2020-8-12,351,0
2020-8-13,353,0
2020-8-14,360,0
2020-8-15,363,0
2020-8-16,363,0
2020-8-17,364,0
2020-8-18,369,0
2020-8-19,377,0
2020-8-20,381,0
2020-8-21,383,0
2020-8-22,385,0
2020-8-23,385,0
2020-8-24,390,0
2020-8-25,397,0
2020-8-26,401,0
2020-8-27,403,0
2020-8-28,407,0
2020-8-29,407,0
2020-8-30,407,0
2020-8-31,407,0
2020-9-1,409,0
2020-9-2,410,0
2020-9-3,414,0
2020-9-4,419,0
2020-9-5,420,0
2020-9-6,422,0
2020-9-7,423,0
2020-9-8,424,0
2020-9-9,427,0
2020-9-10,430,0
2020-9-11,431,0
2020-9-12,433,0
2020-9-13,433,0
2020-9-14,436,0
2020-9-15,436,0
2020-9-16,437,0
2020-9-17,437,0
2020-9-18,437,0
2020-9-19,440,0
2020-9-20,440,0
2020-9-21,441,0
2020-9-22,443,0
2020-9-23,444,0
2020-9-24,444,0
2020-9-25,448,0
2020-9-26,448,0
2020-9-27,453,0
2020-9-28,453,0
2020-9-29,457,0
2020-9-30,459,0
2020-10-1,459,0
2020-10-2,474,0
2020-10-3,476,0
2020-10-4,478,0
2020-10-5,482,0
2020-10-6,488,0
2020-10-7,496,0
2020-10-8,501,0
2020-10-9,505,0
2020-10-10,510,0
2020-10-11,517,0
2020-10-12,522,0
2020-10-13,522,0
2020-10-14,527,0
2020-10-15,529,0
2020-10-16,537,0
2020-10-17,540,0
2020-10-18,543,0
2020-10-19,546,0
2020-10-20,551,0
2020-10-21,557,0
2020-10-22,563,0
2020-10-23,567,0
2020-10-24,568,0
2020-10-25,572,0
2020-10-26,574,0
2020-10-27,578,0
2020-10-28,588,0
2020-10-29,598,0
2020-10-30,601,0
2020-10-31,604,0
2020-11-1,614,0
2020-11-2,614,0
2020-11-3,620,0
2020-11-4,625,0
2020-11-5,632,0
2020-11-6,649,0
2020-11-7,658,0
2020-11-8,659,0
2020-11-9,661,0
2020-11-10,672,0
2020-11-11,678,0
2020-11-12,687,0
2020-11-13,701,0
2020-11-14,710,0
2020-11-15,718,0
2020-11-16,723,0
2020-11-17,732,0
2020-11-18,740,0
2020-11-19,756,0
2020-11-20,773,0
2020-11-21,787,0
2020-11-22,793,0
2020-11-23,797,0
2020-11-24,808,0
2020-11-25,834,0
2020-11-26,834,0
2020-11-27,849,0
2020-11-28,863,0
2020-11-29,868,0
2020-11-30,871,0
2020-12-1,890,0
2020-12-2,906,0
2020-12-3,917,0
2020-12-4,925,0
2020-12-5,939,0
2020-12-6,939,0
2020-12-7,949,0
2020-12-8,972,0
2020-12-9,995,0
2020-12-10,1016,0
2020-12-11,1025,0
2020-12-12,1038,0
2020-12-13,1055,0
2020-12-14,1062,0
2020-12-15,1077,0
2020-12-16,1096,0
2020-12-17,1126,0
2020-12-18,1140,0
2020-12-19,1148,0
2020-12-20,1155,0
2020-12-21,1161,0
2020-12-22,1173,0
2020-12-23,1196,0
2020-12-24,1204,0
2020-12-25,1204,0
2020-12-26,1212,0
2020-12-27,1214,0
2020-12-28,1219,0
2020-12-29,1235,0
2020-12-30,1256,0
2020-12-31,1269,0
2021-1-1,1269,0
2021-1-2,1294,0
2021-1-3,1301,0
2021-1-4,1305,0
2021-1-5,1312,0
2021-1-6,1330,0
2021-1-7,1359,0
2021-1-8,1381,0
2021-1-9,1390,0
2021-1-10,1392,0
2021-1-11,1396,0
2021-1-12,1422,0
2021-1-13,1449,0
2021-1-14,1460,0
2021-1-15,1472,0
2021-1-16,1485,0
2021-1-17,1493,0
2021-1-18,1500,0
2021-1-19,1507,0
2021-1-20,1517,0
2021-1-21,1547,0
2021-1-22,1571,0
2021-1-23,1582,0
2021-1-24,1595,0
2021-1-25,1597,0
2021-1-26,1613,0
2021-1-27,1620,0
2021-1-28,1620,0
2021-1-29,1655,0
2021-1-30,1663,0
2021-1-31,1665,0
2021-2-1,1668,0
2021-2-2,1685,0
2021-2-3,1697,0
2021-2-4,1711,0
2021-2-5,1728,0
2021-2-6,1733,0
2021-2-7,1736,0
2021-2-8,1738,0
2021-2-9,1748,0
2021-2-10,1765,0
2021-2-11,1774,0
2021-2-12,1785,0
